57003,80,23,98,105
62006,82,24,186,104
67008,81,25,180,100
72011,83,25,176,109
77014,82,26,170,109
82017,77,26,202,105
87020,80,27,224,106
92022,82,27,230,109
97026,78,27,237,105
102029,80,28,232,105
107031,83,28,235,105
112034,82,28,262,110
117038,78,28,274,105
122041,81,28,280,100
127044,79,29,269,106
132047,81,29,265,95
137051,78,29,288,101
142054,81,29,288,105
147057,77,29,258,110
152060,81,29,243,100
157064,81,29,243,105
162067,79,30,260,105
167070,80,30,253,101
172073,79,30,257,101
177077,78,30,270,105
182080,81,30,266,105
187083,83,30,261,105
192087,76,30,290,106
197090,79,30,282,106
202093,80,30,272,101
207096,80,30,280,9
212100,78,31,286,105
217103,82,30,267,105
222106,77,31,288,106
227109,81,30,284,109
232113,77,31,288,101
237116,81,31,285,100
242119,80,31,301,105
247122,79,31,300,101
252126,78,31,282,101
257129,80,31,296,105
262132,79,31,290,101
267137,77,31,280,105
272140,81,31,288,110
277143,81,31,288,100
282146,76,31,288,111
287150,81,31,285,100
292153,77,31,289,110
297156,81,31,296,101
302159,83,31,297,95
307163,83,31,300,90
312166,82,31,312,105
317169,82,31,303,100
322172,79,31,319,104
327176,78,31,312,100
332179,78,31,306,119
337182,74,31,362,100
342185,78,31,400,109
347189,80,31,386,105
352192,83,31,0,96
357195,80,31,365,133
362199,84,31,355,109
367202,77,31,212,105
372205,76,31,231,100
377208,86,31,207,109
382212,72,31,0,105
387215,50,31,0,105
392218,73,31,0,110
