26,22,0,23,-4,23,
79,22,2,33,-4,33,
88,22,0,33,0,33,
89,22,0,28,0,28,
71,22,15,28,4,28,
86,22,0,28,0,28,
87,22,0,76,104,76,
88,22,0,80,-52,80,
85,22,0,-38,76,-38,
67,22,1,-4,57,-4,
81,22,0,-47,52,-47,
77,22,0,109,9,109,
69,22,0,-152,-33,-152,
89,22,0,9,80,9,
87,22,0,42,-33,42,
84,22,0,-42,76,-42,
55,22,0,-4,61,-4,
55,25,1,-4,57,-4,
80,27,0,-4,42,-4,
71,26,1,-9,47,-9,
92,25,0,0,52,0,
87,25,0,-95,9,-95,
0,24,0,-28,47,-28,
0,24,0,-33,47,-33,
0,24,0,-38,47,-38,
0,24,0,-42,42,-42,
98,24,0,-14,28,-14,
93,24,4,-9,28,-9,
93,24,0,-14,28,-14,
93,24,0,-9,28,-9,
93,24,0,-9,23,-9,
93,24,0,-14,28,-14,
94,24,0,-14,28,-14,
93,24,0,-9,33,-9,
93,24,0,-9,23,-9,
91,24,10,-9,33,-9,
87,24,11,-14,33,-14,
76,24,0,-47,33,-47,
72,24,0,-90,23,-90,
66,24,1,-47,-85,-47,
82,24,0,9,114,9,
84,24,0,-47,23,-47,
89,24,0,14,52,14,
92,24,0,0,38,0,
82,23,0,0,42,0,
