57003,91,22,0,103
62006,81,22,0,98
67008,85,22,0,99
72010,82,22,0,103
77014,91,22,0,103
82016,93,22,0,97
87019,95,22,0,97
92021,96,22,0,102
97025,97,22,0,98
102028,97,22,0,99
107030,88,22,0,102
112033,88,22,0,103
117037,95,22,0,102
122039,93,22,0,96
127042,76,22,0,98
132045,97,22,0,102
137048,95,22,0,102
142051,97,22,0,102
147054,96,22,1,99
152057,95,22,0,97
157061,93,22,0,103
162064,97,22,0,98
167066,98,22,0,101
172069,96,22,0,96
177073,98,22,0,98
182076,97,22,0,103
187079,98,22,0,102
192082,98,22,0,102
197086,97,22,0,102
202089,97,22,0,97
207091,94,22,0,99
212094,97,22,0,98
217098,87,22,0,102
222101,73,22,0,103
227104,74,22,0,101
232108,62,22,0,103
237111,63,22,0,97
242114,65,22,0,102
247116,65,22,0,97
252120,68,22,0,98
257123,72,22,0,103
262126,53,22,0,102
267129,32,22,0,97
272133,37,22,0,96
277136,92,22,0,102
282138,96,22,0,103
287141,91,22,0,104
292145,91,22,0,99
297148,95,22,0,102
302151,92,22,0,103
307154,96,22,0,97
312157,94,22,0,102
317160,97,22,0,97
322163,92,22,0,98
327166,91,22,0,99
332170,91,22,0,103
337173,92,22,0,102
342176,91,22,4,98
347179,89,22,13,86
352182,91,22,11,179
357185,88,23,80,68
362188,83,22,0,90
367192,78,22,0,46
372195,89,23,76,69
377198,84,22,89,72
382201,58,23,0,113
387204,0,25,269,100
465210,80,23,0,106
470213,91,23,0,105
475216,95,23,0,102
480220,94,23,0,99
485223,95,23,0,103
490226,93,23,0,103
495229,87,23,0,102
500233,92,23,0,100
505235,89,23,0,96
510238,85,23,0,100
